"Plot Title: 110 Meter"
"#","Date Time, GMT-07:00","Temp, C","Bad Battery","Stopped","End Of File"
175,05/06/10 05:12:30 AM,121.056,,,
176,05/06/10 05:12:55 AM,8.469,,,
177,05/06/10 05:13:20 AM,41.707,,,
178,05/06/10 05:13:45 AM,3.248,,,
179,05/06/10 05:14:10 AM,7.494,,,
180,05/06/10 05:14:35 AM,24.702,,,
181,05/06/10 05:15:00 AM,27.063,,,
182,05/06/10 05:15:25 AM,-11.147,,,
183,05/06/10 05:15:50 AM,121.056,,,
184,05/06/10 05:16:15 AM,8.494,,,
185,05/06/10 05:16:40 AM,41.736,,,
186,05/06/10 05:17:05 AM,3.248,,,
187,05/06/10 05:17:30 AM,7.895,,,
188,05/06/10 05:17:55 AM,25.477,,,
189,05/06/10 05:18:20 AM,27.063,,,
190,05/06/10 05:18:45 AM,-2.888,,,
191,05/06/10 05:19:10 AM,-27.031,,,
192,05/06/10 05:19:35 AM,8.519,,,
193,05/06/10 05:20:00 AM,41.795,,,
194,05/06/10 05:20:25 AM,3.248,,,
195,05/06/10 05:20:50 AM,7.895,,,
196,05/06/10 05:21:15 AM,25.866,,,
197,05/06/10 05:21:40 AM,27.063,,,
198,05/06/10 05:22:05 AM,-2.888,,,
199,05/06/10 05:22:30 AM,-14.707,,,
200,05/06/10 05:22:55 AM,8.543,,,
201,05/06/10 05:23:20 AM,41.854,,,
202,05/06/10 05:23:45 AM,3.248,,,
203,05/06/10 05:24:10 AM,8.295,,,
204,05/06/10 05:24:35 AM,26.646,,,
205,05/06/10 05:25:00 AM,27.063,,,
206,05/06/10 05:25:25 AM,4.168,,,
207,05/06/10 05:25:50 AM,8.245,,,
208,05/06/10 05:26:15 AM,8.543,,,
209,05/06/10 05:26:40 AM,41.913,,,
210,05/06/10 05:27:05 AM,3.248,,,
211,05/06/10 05:27:30 AM,8.693,,,
212,05/06/10 05:27:55 AM,27.431,,,
213,05/06/10 05:28:20 AM,27.063,,,
214,05/06/10 05:28:45 AM,10.614,,,
215,05/06/10 05:29:10 AM,14.481,,,
216,05/06/10 05:29:35 AM,8.568,,,
217,05/06/10 05:30:00 AM,41.972,,,
218,05/06/10 05:30:25 AM,3.248,,,
219,05/06/10 05:30:50 AM,8.693,,,
220,05/06/10 05:31:15 AM,28.221,,,
221,05/06/10 05:31:40 AM,27.063,,,
222,05/06/10 05:32:05 AM,10.614,,,
223,05/06/10 05:32:30 AM,26.744,,,
224,05/06/10 05:32:55 AM,8.568,,,
225,05/06/10 05:33:20 AM,42.031,,,
226,05/06/10 05:33:45 AM,3.248,,,
227,05/06/10 05:34:10 AM,8.693,,,
228,05/06/10 05:34:35 AM,28.617,,,
229,05/06/10 05:35:00 AM,27.063,,,
230,05/06/10 05:35:25 AM,16.773,,,
231,05/06/10 05:35:50 AM,33.183,,,
232,05/06/10 05:36:15 AM,8.593,,,
233,05/06/10 05:36:40 AM,42.060,,,
234,05/06/10 05:37:05 AM,3.248,,,
235,05/06/10 05:37:30 AM,9.089,,,
236,05/06/10 05:37:55 AM,29.414,,,
237,05/06/10 05:38:20 AM,27.063,,,
238,05/06/10 05:38:45 AM,16.773,,,
239,05/06/10 05:39:10 AM,47.974,,,
240,05/06/10 05:39:35 AM,8.593,,,
241,05/06/10 05:40:00 AM,42.090,,,
242,05/06/10 05:40:25 AM,3.248,,,
243,05/06/10 05:40:50 AM,9.089,,,
244,05/06/10 05:41:15 AM,30.217,,,
245,05/06/10 05:41:40 AM,27.063,,,
246,05/06/10 05:42:05 AM,22.872,,,
247,05/06/10 05:42:30 AM,69.137,,,
248,05/06/10 05:42:55 AM,8.618,,,
249,05/06/10 05:43:20 AM,42.179,,,
250,05/06/10 05:43:45 AM,3.248,,,
251,05/06/10 05:44:10 AM,9.485,,,
252,05/06/10 05:44:35 AM,31.026,,,
253,05/06/10 05:45:00 AM,27.063,,,
254,05/06/10 05:45:25 AM,22.872,,,
255,05/06/10 05:45:50 AM,121.056,,,
256,05/06/10 05:46:15 AM,8.618,,,
257,05/06/10 05:46:40 AM,42.238,,,
258,05/06/10 05:47:05 AM,3.248,,,
259,05/06/10 05:47:30 AM,9.485,,,
260,05/06/10 05:47:55 AM,31.433,,,
261,05/06/10 05:48:20 AM,27.063,,,
262,05/06/10 05:48:45 AM,22.896,,,
263,05/06/10 05:49:10 AM,-27.031,,,
264,05/06/10 05:49:35 AM,8.618,,,
265,05/06/10 05:50:00 AM,42.267,,,
266,05/06/10 05:50:25 AM,3.248,,,
267,05/06/10 05:50:50 AM,9.485,,,
268,05/06/10 05:51:15 AM,31.842,,,
269,05/06/10 05:51:40 AM,27.063,,,
270,05/06/10 05:52:05 AM,22.896,,,
271,05/06/10 05:52:30 AM,-5.791,,,
272,05/06/10 05:52:55 AM,8.618,,,
273,05/06/10 05:53:20 AM,42.327,,,
274,05/06/10 05:53:45 AM,3.248,,,
275,05/06/10 05:54:10 AM,9.485,,,
276,05/06/10 05:54:35 AM,32.665,,,
277,05/06/10 05:55:00 AM,27.063,,,
278,05/06/10 05:55:25 AM,22.896,,,
279,05/06/10 05:55:50 AM,1.615,,,
280,05/06/10 05:56:15 AM,8.618,,,
281,05/06/10 05:56:40 AM,42.356,,,
282,05/06/10 05:57:05 AM,3.248,,,
283,05/06/10 05:57:30 AM,9.485,,,
284,05/06/10 05:57:55 AM,33.495,,,
285,05/06/10 05:58:20 AM,27.063,,,
286,05/06/10 05:58:45 AM,22.896,,,
287,05/06/10 05:59:10 AM,14.481,,,
288,05/06/10 05:59:35 AM,8.618,,,
289,05/06/10 06:00:00 AM,42.445,,,
290,05/06/10 06:00:25 AM,3.248,,,
291,05/06/10 06:00:50 AM,9.485,,,
292,05/06/10 06:01:15 AM,34.334,,,
293,05/06/10 06:01:40 AM,27.063,,,
294,05/06/10 06:02:05 AM,22.896,,,
295,05/06/10 06:02:30 AM,26.744,,,
296,05/06/10 06:02:55 AM,8.618,,,
297,05/06/10 06:03:20 AM,42.475,,,
298,05/06/10 06:03:45 AM,3.248,,,
299,05/06/10 06:04:10 AM,9.485,,,
300,05/06/10 06:04:35 AM,35.182,,,
301,05/06/10 06:05:00 AM,27.063,,,
302,05/06/10 06:05:25 AM,22.896,,,
303,05/06/10 06:05:50 AM,33.183,,,
304,05/06/10 06:06:15 AM,8.618,,,
305,05/06/10 06:06:40 AM,42.505,,,
306,05/06/10 06:07:05 AM,3.248,,,
307,05/06/10 06:07:30 AM,9.485,,,
308,05/06/10 06:07:55 AM,35.609,,,
309,05/06/10 06:08:20 AM,27.063,,,
310,05/06/10 06:08:45 AM,22.896,,,
311,05/06/10 06:09:10 AM,40.142,,,
312,05/06/10 06:09:35 AM,8.618,,,
313,05/06/10 06:10:00 AM,42.564,,,
314,05/06/10 06:10:25 AM,3.248,,,
315,05/06/10 06:10:50 AM,9.485,,,
316,05/06/10 06:11:15 AM,36.039,,,
317,05/06/10 06:11:40 AM,27.063,,,
318,05/06/10 06:12:05 AM,22.896,,,
319,05/06/10 06:12:30 AM,47.974,,,
320,05/06/10 06:12:55 AM,8.618,,,
321,05/06/10 06:13:20 AM,42.594,,,
322,05/06/10 06:13:45 AM,3.248,,,
323,05/06/10 06:14:10 AM,9.485,,,
324,05/06/10 06:14:35 AM,38.226,,,
325,05/06/10 06:15:00 AM,27.063,,,
326,05/06/10 06:15:25 AM,22.896,,,
327,05/06/10 06:15:50 AM,57.259,,,
328,05/06/10 06:16:15 AM,8.593,,,
329,05/06/10 06:16:40 AM,41.972,,,
330,05/06/10 06:17:05 AM,3.248,,,
331,05/06/10 06:17:30 AM,9.089,,,
332,05/06/10 06:17:55 AM,15.533,,,
333,05/06/10 06:18:20 AM,27.063,,,
334,05/06/10 06:18:45 AM,16.725,,,
335,05/06/10 06:19:10 AM,14.481,,,
336,05/06/10 06:19:35 AM,8.593,,,
337,05/06/10 06:20:00 AM,41.152,,,
338,05/06/10 06:20:25 AM,3.248,,,
339,05/06/10 06:20:50 AM,9.089,,,
340,05/06/10 06:21:15 AM,18.580,,,
341,05/06/10 06:21:40 AM,27.063,,,
342,05/06/10 06:22:05 AM,10.565,,,
343,05/06/10 06:22:30 AM,121.056,,,
344,05/06/10 06:22:55 AM,8.568,,,
345,05/06/10 06:23:20 AM,41.268,,,
346,05/06/10 06:23:45 AM,3.248,,,
347,05/06/10 06:24:10 AM,8.693,,,
348,05/06/10 06:24:35 AM,18.200,,,
